"","platform","model","segmentation","sample","pt_assignment","pt_assignment_common"
"1","MERSCOPE",NA,"Default","ctrl174",78.7166262038258,78.7166262038258
"2","MERSCOPE",NA,"Default","ko166",81.2199467218903,81.2199467218903
"3","MERSCOPE",NA,"Default","ctrl173",72.2422819250673,72.2422819250673
"4","MERSCOPE",NA,"Default","ko168",68.690713004369,68.690713004369
"5","MERSCOPE",NA,"Default","ctrl172",72.3467811924197,72.3467811924197
"6","MERSCOPE",NA,"Default","ko167",79.3394048905014,79.3394048905014
"7","MERSCOPE",NA,"Default","wt709",84.2804677096048,84.2804677096048
"8","MERSCOPE",NA,"Default","wt710",88.0824049959306,88.0824049959306
"9","MERSCOPE",NA,"Default","wt713",86.7710616151475,86.7710616151475
"10","MERSCOPE",NA,"Proseg","ctrl174",95.6042069737776,95.6042069737776
"11","MERSCOPE",NA,"Proseg","ko166",97.8675809102024,97.8675809102024
"12","MERSCOPE",NA,"Proseg","ctrl173",91.8726866670336,91.8726866670336
"13","MERSCOPE",NA,"Proseg","ko168",93.6089128210104,93.6089128210104
"14","MERSCOPE",NA,"Proseg","ctrl172",94.8249245593413,94.8249245593413
"15","MERSCOPE",NA,"Proseg","ko167",97.6276094680891,97.6276094680891
"16","MERSCOPE",NA,"Proseg","wt709",95.1656346349047,95.1656346349047
"17","MERSCOPE",NA,"Proseg","wt710",95.2510053927939,95.2510053927939
"18","MERSCOPE",NA,"Proseg","wt713",94.7920260543051,94.7920260543051
"19","MERSCOPE",NA,"Cellpose2","ctrl174",78.7166262038258,78.7166262038258
"20","MERSCOPE",NA,"Cellpose2","ko166",81.2199467218903,81.2199467218903
"21","MERSCOPE",NA,"Cellpose2","ctrl173",72.2422819250673,72.2422819250673
"22","MERSCOPE",NA,"Cellpose2","ko168",68.690713004369,68.690713004369
"23","MERSCOPE",NA,"Cellpose2","ctrl172",72.3467811924197,72.3467811924197
"24","MERSCOPE",NA,"Cellpose2","ko167",79.3394048905014,79.3394048905014
"25","MERSCOPE",NA,"Cellpose2","wt709",85.3777206792447,85.3777206792447
"26","MERSCOPE",NA,"Cellpose2","wt710",88.0824049959306,88.0824049959306
"27","MERSCOPE",NA,"Cellpose2","wt713",86.609131361134,86.609131361134
"28","Xenium","unimodal","Default","ctrl172",73.8051384140502,73.6923950990642
"29","Xenium","unimodal","Default","ctrl173",93.4197297601499,93.7564708339952
"30","Xenium","unimodal","Default","ctrl174",73.5984296236666,73.956609977858
"31","Xenium","unimodal","Default","ko166",91.1290898670261,91.3043737882793
"32","Xenium","unimodal","Default","ko167",94.8925618411031,95.1329466731673
"33","Xenium","unimodal","Default","ko168",89.5812060608001,89.526426572213
"34","Xenium","unimodal","Default","wt709",79.6069701927755,79.6466998686232
"35","Xenium","unimodal","Default","wt710",88.8640352970701,88.8683540758461
"36","Xenium","unimodal","Default","wt713",97.9868763001583,98.1358131838483
"37","Xenium","unimodal","Proseg","ctrl172",75.1270320646714,75.2235882052505
"38","Xenium","unimodal","Proseg","ctrl173",72.2644720568708,72.6398337058667
"39","Xenium","unimodal","Proseg","ctrl174",92.2536268136303,91.9712226315775
"40","Xenium","unimodal","Proseg","ko166",62.633829210552,62.7043722120685
"41","Xenium","unimodal","Proseg","ko167",74.1869975496923,74.9606267209358
"42","Xenium","unimodal","Proseg","ko168",76.733888977344,77.2929145926449
"43","Xenium","unimodal","Proseg","wt709",75.7207517041361,74.7806963054587
"44","Xenium","unimodal","Proseg","wt710",98.7746181848653,98.6950566577101
"45","Xenium","unimodal","Proseg","wt713",66.9907794755174,67.8633578977983
"46","Xenium","multimodal","Default","ctrl173",58.3717656869035,58.2775247118668
"47","Xenium","multimodal","Default","wt710",70.1891850766444,70.2428834576912
"48","Xenium","multimodal","Default","wt709",87.6533955790684,87.5895421799734
"49","Xenium","multimodal","Default","ctrl174",88.5564340514595,88.6834723369888
"50","Xenium","multimodal","Default","ctrl172",79.0901979795982,78.9639857022912
"51","Xenium","multimodal","Proseg","ctrl173",79.1416117774766,79.6893697599887
"52","Xenium","multimodal","Proseg","wt710",99.6841266689965,99.6701129200374
"53","Xenium","multimodal","Proseg","wt709",99.8612456669948,99.8758181606411
"54","Xenium","multimodal","Proseg","ctrl174",99.6999334125361,99.7288316795103
"55","Xenium","multimodal","Proseg","ctrl172",99.6505145354072,99.6557080676445
"56","Xenium","multimodal","Cellpose2","ctrl173",98.4748085374744,98.4673375104945
"57","Xenium","multimodal","Cellpose2","wt710",96.9072763277603,96.8667577825815
"58","Xenium","multimodal","Cellpose2","wt709",98.3038617008332,98.277286520974
"59","Xenium","multimodal","Cellpose2","ctrl174",98.3681710955667,98.4053785958674
"60","Xenium","multimodal","Cellpose2","ctrl172",98.5370241315471,98.5432516151372
